C Major,C D E F G A B
C#/Db Major,C#/Db D#/Eb F F#/Gb G#/Ab A#/Bb C
D Major,D E F#/Gb G A B C#/Db
D#/Eb Major,D#/Eb F G G#/Ab A#/Bb C D
E Major,E F#/Gb G#/Ab A B C#/Db D#/Eb
F Major,F G A A#/Bb C D E
F#/Gb Major,F#/Gb G#/Ab A#/Bb B C#/Db D#/Eb F
G Major,G A B C D E F#/Gb
G#/Ab Major,G#/Ab A#/Bb C C#/Db D#/Eb F G
A Major,A B C#/Db D E F#/Gb G#/Ab
A#/Bb Major,A#/Bb C D D#/Eb F G A
B Major,B C#/Db D#/Eb E F#/Gb G#/Ab A#/Bb
C natural minor,C D D#/Eb F G G#/Ab A#/Bb
C#/Db natural minor,C#/Db D#/Eb E F#/Gb G#/Ab A B
D natural minor,D E F G A A#/Bb C
D#/Eb natural minor,D#/Eb F F#/Gb G#/Ab A#/Bb B C#/Db
E natural minor,E F#/Gb G A B C D
F natural minor,F G G#/Ab A#/Bb C C#/Db D#/Eb
F#/Gb natural minor,F#/Gb G#/Ab A B C#/Db D E
G natural minor,G A A#/Bb C D D#/Eb F
G#/Ab natural minor,G#/Ab A#/Bb B C#/Db D#/Eb E F#/Gb
A natural minor,A B C D E F G
A#/Bb natural minor,A#/Bb C C#/Db D#/Eb F F#/Gb G#/Ab
B natural minor,B C#/Db D E F#/Gb G A
C harmonic minor,C D D#/Eb F G G#/Ab B
C#/Db harmonic minor,C#/Db D#/Eb E F#/Gb G#/Ab A C
D harmonic minor,D E F G A A#/Bb C#/Db
D#/Eb harmonic minor,D#/Eb F F#/Gb G#/Ab A#/Bb B D
E harmonic minor,E F#/Gb G A B C D#/Eb
F harmonic minor,F G G#/Ab A#/Bb C C#/Db E
F#/Gb harmonic minor,F#/Gb G#/Ab A B C#/Db D F
G harmonic minor,G A A#/Bb C D D#/Eb F#/Gb
G#/Ab harmonic minor,G#/Ab A#/Bb B C#/Db D#/Eb E G
A harmonic minor,A B C D E F G#/Ab
A#/Bb harmonic minor,A#/Bb C C#/Db D#/Eb F F#/Gb A
B harmonic minor,B C#/Db D E F#/Gb G A#/Bb
C melodic minor,C D D#/Eb F G A B
C#/Db melodic minor,C#/Db D#/Eb E F#/Gb G#/Ab A#/Bb C
D melodic minor,D E F G A B C#/Db
D#/Eb melodic minor,D#/Eb F F#/Gb G#/Ab A#/Bb C D
E melodic minor,E F#/Gb G A B C#/Db D#/Eb
F melodic minor,F G G#/Ab A#/Bb C D E
F#/Gb melodic minor,F#/Gb G#/Ab A B C#/Db D#/Eb F
G melodic minor,G A A#/Bb C D E F#/Gb
G#/Ab melodic minor,G#/Ab A#/Bb B C#/Db D#/Eb F G
A melodic minor,A B C D E F#/Gb G#/Ab
A#/Bb melodic minor,A#/Bb C C#/Db D#/Eb F G A
B melodic minor,B C#/Db D E F#/Gb G#/Ab A#/Bb
C major pentatonic,C D E G A
C#/Db major pentatonic,C#/Db D#/Eb F G#/Ab A#/Bb
D major pentatonic,D E F#/Gb A B
D#/Eb major pentatonic,D#/Eb F G A#/Bb C
E major pentatonic,E F#/Gb G#/Ab B C#/Db
F major pentatonic,F G A C D
F#/Gb major pentatonic,F#/Gb G#/Ab A#/Bb C#/Db D#/Eb
G major pentatonic,G A B D E
G#/Ab major pentatonic,G#/Ab A#/Bb C D#/Eb F
A major pentatonic,A B C#/Db E F#/Gb
A#/Bb major pentatonic,A#/Bb C D F G
B major pentatonic,B C#/Db D#/Eb F#/Gb G#/Ab
C minor pentatonic,C D#/Eb F G A#/Bb
C#/Db minor pentatonic,C#/Db E F#/Gb G#/Ab B
D minor pentatonic,D F G A C
D#/Eb minor pentatonic,D#/Eb F#/Gb G#/Ab A#/Bb C#/Db
E minor pentatonic,E G A B D
F minor pentatonic,F G#/Ab A#/Bb C D#/Eb
F#/Gb minor pentatonic,F#/Gb A B C#/Db E
G minor pentatonic,G A#/Bb C D F
G#/Ab minor pentatonic,G#/Ab B C#/Db D#/Eb F#/Gb
A minor pentatonic,A C D E G
A#/Bb minor pentatonic,A#/Bb C#/Db D#/Eb F G#/Ab
B minor pentatonic,B D E F#/Gb A
C blues,C D#/Eb F F#/Gb G A#/Bb
C#/Db blues,C#/Db E F#/Gb G G#/Ab B
D blues,D F G G#/Ab A C
D#/Eb blues,D#/Eb F#/Gb G#/Ab A A#/Bb C#/Db
E blues,E G A A#/Bb B D
F blues,F G#/Ab A#/Bb B C D#/Eb
F#/Gb blues,F#/Gb A B C C#/Db E
G blues,G A#/Bb C C#/Db D F
G#/Ab blues,G#/Ab B C#/Db D D#/Eb F#/Gb
A blues,A C D D#/Eb E G
A#/Bb blues,A#/Bb C#/Db D#/Eb E F G#/Ab
B blues,B D E F F#/Gb A
C minor blues,C D D#/Eb F F#/Gb G G#/Ab A#/Bb
C#/Db minor blues,C#/Db D#/Eb E F#/Gb G G#/Ab A B
D minor blues,D E F G G#/Ab A A#/Bb C
D#/Eb minor blues,D#/Eb F F#/Gb G#/Ab A A#/Bb B C#/Db
E minor blues,E F#/Gb G A A#/Bb B C D
F minor blues,F G G#/Ab A#/Bb B C C#/Db D#/Eb
F#/Gb minor blues,F#/Gb G#/Ab A B C C#/Db D E
G minor blues,G A A#/Bb C C#/Db D D#/Eb F
G#/Ab minor blues,G#/Ab A#/Bb B C#/Db D D#/Eb E F#/Gb
A minor blues,A B C D D#/Eb E F G
A#/Bb minor blues,A#/Bb C C#/Db D#/Eb E F F#/Gb G#/Ab
B minor blues,B C#/Db D E F F#/Gb G A
C major blues,C D D#/Eb E F F#/Gb G A A#/Bb
C#/Db major blues,C#/Db D#/Eb E F F#/Gb G G#/Ab A#/Bb B
D major blues,D E F F#/Gb G G#/Ab A B C
D#/Eb major blues,D#/Eb F F#/Gb G G#/Ab A A#/Bb C C#/Db
E major blues,E F#/Gb G G#/Ab A A#/Bb B C#/Db D
F major blues,F G G#/Ab A A#/Bb B C D D#/Eb
F#/Gb major blues,F#/Gb G#/Ab A A#/Bb B C C#/Db D#/Eb E
G major blues,G A A#/Bb B C C#/Db D E F
G#/Ab major blues,G#/Ab A#/Bb B C C#/Db D D#/Eb F F#/Gb
A major blues,A B C C#/Db D D#/Eb E F#/Gb G
A#/Bb major blues,A#/Bb C C#/Db D D#/Eb E F G G#/Ab
B major blues,B C#/Db D D#/Eb E F F#/Gb G#/Ab A
C augmented,C D E F#/Gb G#/Ab A#/Bb
C#/Db augmented,C#/Db D#/Eb F G A B
D augmented,D E F#/Gb G#/Ab A#/Bb C
D#/Eb augmented,D#/Eb F G A B C#/Db
E augmented,E F#/Gb G#/Ab A#/Bb C D
F augmented,F G A B C#/Db D#/Eb
F#/Gb augmented,F#/Gb G#/Ab A#/Bb C D E
G augmented,G A B C#/Db D#/Eb F
G#/Ab augmented,G#/Ab A#/Bb C D E F#/Gb
A augmented,A B C#/Db D#/Eb F G
A#/Bb augmented,A#/Bb C D E F#/Gb G#/Ab
B augmented,B C#/Db D#/Eb F G A
C diminished,C D D#/Eb F F#/Gb G#/Ab A B
C#/Db diminished,C#/Db D#/Eb E F#/Gb G A A#/Bb C
D diminished,D E F G G#/Ab A#/Bb B C#/Db
D#/Eb diminished,D#/Eb F F#/Gb G#/Ab A B C D
E diminished,E F#/Gb G A A#/Bb C C#/Db D#/Eb
F diminished,F G G#/Ab A#/Bb B C#/Db D E
F#/Gb diminished,F#/Gb G#/Ab A B C D D#/Eb F
G diminished,G A A#/Bb C C#/Db D#/Eb E F#/Gb
G#/Ab diminished,G#/Ab A#/Bb B C#/Db D E F G
A diminished,A B C D D#/Eb F F#/Gb G#/Ab
A#/Bb diminished,A#/Bb C C#/Db D#/Eb E F#/Gb G A
B diminished,B C#/Db D E F G G#/Ab A#/Bb
C Phrygian-Dominant,C C#/Db E F G G#/Ab A#/Bb
C#/Db Phrygian-Dominant,C#/Db D F F#/Gb G#/Ab A B
D Phrygian-Dominant,D D#/Eb F#/Gb G A A#/Bb C
D#/Eb Phrygian-Dominant,D#/Eb E G G#/Ab A#/Bb B C#/Db
E Phrygian-Dominant,E F G#/Ab A B C D
F Phrygian-Dominant,F F#/Gb A A#/Bb C C#/Db D#/Eb
F#/Gb Phrygian-Dominant,F#/Gb G A#/Bb B C#/Db D E
G Phrygian-Dominant,G G#/Ab B C D D#/Eb F
G#/Ab Phrygian-Dominant,G#/Ab A C C#/Db D#/Eb E F#/Gb
A Phrygian-Dominant,A A#/Bb C#/Db D E F G
A#/Bb Phrygian-Dominant,A#/Bb B D D#/Eb F F#/Gb G#/Ab
B Phrygian-Dominant,B C D#/Eb E F#/Gb G A
C Dorian,C D D#/Eb F G A A#/Bb
C#/Db Dorian,C#/Db D#/Eb E F#/Gb G#/Ab A#/Bb B
D Dorian,D E F G A B C
D#/Eb Dorian,D#/Eb F F#/Gb G#/Ab A#/Bb C C#/Db
E Dorian,E F#/Gb G A B C#/Db D
F Dorian,F G G#/Ab A#/Bb C D D#/Eb
F#/Gb Dorian,F#/Gb G#/Ab A B C#/Db D#/Eb E
G Dorian,G A A#/Bb C D E F
G#/Ab Dorian,G#/Ab A#/Bb B C#/Db D#/Eb F F#/Gb
A Dorian,A B C D E F#/Gb G
A#/Bb Dorian,A#/Bb C C#/Db D#/Eb F G G#/Ab
B Dorian,B C#/Db D E F#/Gb G#/Ab A
C Phrygian,C C#/Db D#/Eb F G G#/Ab A#/Bb
C#/Db Phrygian,C#/Db D E F#/Gb G#/Ab A B
D Phrygian,D D#/Eb F G A A#/Bb C
D#/Eb Phrygian,D#/Eb E F#/Gb G#/Ab A#/Bb B C#/Db
E Phrygian,E F G A B C D
F Phrygian,F F#/Gb G#/Ab A#/Bb C C#/Db D#/Eb
F#/Gb Phrygian,F#/Gb G A B C#/Db D E
G Phrygian,G G#/Ab A#/Bb C D D#/Eb F
G#/Ab Phrygian,G#/Ab A B C#/Db D#/Eb E F#/Gb
A Phrygian,A A#/Bb C D E F G
A#/Bb Phrygian,A#/Bb B C#/Db D#/Eb F F#/Gb G#/Ab
B Phrygian,B C D E F#/Gb G A
C Lydian,C D E F#/Gb G A B
C#/Db Lydian,C#/Db D#/Eb F G G#/Ab A#/Bb C
D Lydian,D E F#/Gb G#/Ab A B C#/Db
D#/Eb Lydian,D#/Eb F G A A#/Bb C D
E Lydian,E F#/Gb G#/Ab A#/Bb B C#/Db D#/Eb
F Lydian,F G A B C D E
F#/Gb Lydian,F#/Gb G#/Ab A#/Bb C C#/Db D#/Eb F
G Lydian,G A B C#/Db D E F#/Gb
G#/Ab Lydian,G#/Ab A#/Bb C D D#/Eb F G
A Lydian,A B C#/Db D#/Eb E F#/Gb G#/Ab
A#/Bb Lydian,A#/Bb C D E F G A
B Lydian,B C#/Db D#/Eb F F#/Gb G#/Ab A#/Bb
C Mixolydian,C D E F G A A#/Bb
